"sample","outcome_label","outcome_value","prediction","prob0","prob1","biomarkers"
"contact153","stoolneg",0,1,0.28989342392214,0.71010657607786,"vibogaw"
"contact153","stoolneg",0,1,0.302031053883337,0.697968946116663,"Ogvctiter2_new_titers"
"contact154","stoolneg",1,1,0.4671062414194,0.5328937585806,"Ogvctiter2_new_titers"
"contact154","stoolneg",1,0,0.530971340398508,0.469028659601492,"vibogaw"
"contact155","stoolneg",0,1,0.221770512790443,0.778229487209557,"Ogvctiter2_new_titers"
"contact155","stoolneg",0,1,0.262530989263574,0.737469010736426,"vibogaw"
"contact156","stoolneg",0,1,0.295074944860781,0.704925055139219,"Ogvctiter2_new_titers"
"contact156","stoolneg",0,1,0.242730219470932,0.757269780529068,"vibogaw"
"contact157","stoolneg",1,0,0.532502936154833,0.467497063845167,"vibogaw"
"contact157","stoolneg",1,0,0.539847650985927,0.460152349014074,"Ogvctiter2_new_titers"
"contact158","stoolneg",0,0,0.672974297988734,0.327025702011266,"vibogaw"
"contact158","stoolneg",0,0,0.646078155998629,0.353921844001371,"Ogvctiter2_new_titers"
"contact159","stoolneg",1,1,0.210404130767753,0.789595869232247,"Ogvctiter2_new_titers"
"contact159","stoolneg",1,1,0.364889989555509,0.635110010444491,"vibogaw"
"contact160","stoolneg",1,1,0.431121854495694,0.568878145504305,"Ogvctiter2_new_titers"
"contact160","stoolneg",1,0,0.515725046139791,0.484274953860209,"vibogaw"
"contact161","stoolneg",1,1,0.406310711549373,0.593689288450627,"Ogvctiter2_new_titers"
"contact161","stoolneg",1,1,0.39940186294184,0.600598137058159,"vibogaw"
"contact162","stoolneg",1,1,0.326465284453249,0.673534715546751,"vibogaw"
"contact162","stoolneg",1,1,0.39334871888947,0.60665128111053,"Ogvctiter2_new_titers"
"contact163","stoolneg",1,0,0.590700196621405,0.409299803378595,"Ogvctiter2_new_titers"
"contact163","stoolneg",1,0,0.525560896026919,0.474439103973081,"vibogaw"
"contact164","stoolneg",0,1,0.397257648848401,0.6027423511516,"Ogvctiter2_new_titers"
"contact164","stoolneg",0,0,0.536742756306302,0.463257243693698,"vibogaw"
"contact165","stoolneg",0,1,0.334146631215362,0.665853368784638,"vibogaw"
"contact165","stoolneg",0,1,0.453304259745244,0.546695740254756,"Ogvctiter2_new_titers"
"contact166","stoolneg",0,1,0.342366634058237,0.657633365941763,"Ogvctiter2_new_titers"
"contact166","stoolneg",0,1,0.343309138462157,0.656690861537843,"vibogaw"
"contact167","stoolneg",1,1,0.11029920076054,0.88970079923946,"vibogaw"
"contact167","stoolneg",1,1,0.344428514846007,0.655571485153993,"Ogvctiter2_new_titers"
"contact168","stoolneg",1,1,0.140057797246614,0.859942202753387,"vibogaw"
"contact168","stoolneg",1,1,0.298927434377628,0.701072565622372,"Ogvctiter2_new_titers"
"contact169","stoolneg",1,1,0.330683290651557,0.669316709348443,"vibogaw"
"contact169","stoolneg",1,1,0.444429088472588,0.555570911527413,"Ogvctiter2_new_titers"
"contact170","stoolneg",1,0,0.682634155369915,0.317365844630085,"Ogvctiter2_new_titers"
"contact170","stoolneg",1,1,0.401225061771734,0.598774938228266,"vibogaw"
"contact171","stoolneg",1,1,0.098219909626837,0.901780090373163,"vibogaw"
"contact171","stoolneg",1,1,0.2056123695448,0.7943876304552,"Ogvctiter2_new_titers"
"contact172","stoolneg",1,1,0.355977511566521,0.644022488433479,"vibogaw"
"contact172","stoolneg",1,1,0.328961510200327,0.671038489799673,"Ogvctiter2_new_titers"
"contact173","stoolneg",0,1,0.440766885320563,0.559233114679437,"vibogaw"
"contact173","stoolneg",0,1,0.228892780929082,0.771107219070918,"Ogvctiter2_new_titers"
"contact174","stoolneg",1,1,0.491195073021234,0.508804926978766,"vibogaw"
"contact174","stoolneg",1,1,0.375380543068043,0.624619456931957,"Ogvctiter2_new_titers"
"contact175","stoolneg",0,1,0.474101157287845,0.525898842712154,"vibogaw"
"contact175","stoolneg",0,1,0.34815494543726,0.65184505456274,"Ogvctiter2_new_titers"
"contact176","stoolneg",1,1,0.39873073701754,0.60126926298246,"vibogaw"
"contact176","stoolneg",1,1,0.377638633932288,0.622361366067712,"Ogvctiter2_new_titers"
"contact177","stoolneg",1,0,0.71087456355564,0.289125436444359,"Ogvctiter2_new_titers"
"contact177","stoolneg",1,0,0.705554235281403,0.294445764718597,"vibogaw"
"contact178","stoolneg",0,1,0.387468057621773,0.612531942378227,"Ogvctiter2_new_titers"
"contact178","stoolneg",0,1,0.315656545200586,0.684343454799414,"vibogaw"
"contact179","stoolneg",0,0,0.675271022407246,0.324728977592754,"vibogaw"
"contact179","stoolneg",0,0,0.655624395762477,0.344375604237523,"Ogvctiter2_new_titers"
"contact17","stoolneg",1,1,0.37367183898403,0.62632816101597,"Ogvctiter2_new_titers"
"contact17","stoolneg",1,1,0.205185047825412,0.794814952174588,"vibogaw"
"contact180","stoolneg",0,1,0.24098543987832,0.75901456012168,"vibogaw"
"contact180","stoolneg",0,1,0.291673709301535,0.708326290698465,"Ogvctiter2_new_titers"
"contact181","stoolneg",1,1,0.152177585336061,0.847822414663939,"Ogvctiter2_new_titers"
"contact181","stoolneg",1,1,0.103092303095941,0.896907696904059,"vibogaw"
"contact182","stoolneg",1,1,0.467696996106749,0.532303003893251,"Ogvctiter2_new_titers"
"contact182","stoolneg",1,1,0.394255782358337,0.605744217641663,"vibogaw"
"contact183","stoolneg",0,1,0.458334412736388,0.541665587263612,"Ogvctiter2_new_titers"
"contact183","stoolneg",0,1,0.124301861855036,0.875698138144964,"vibogaw"
"contact184","stoolneg",1,0,0.657926428851507,0.342073571148493,"Ogvctiter2_new_titers"
"contact184","stoolneg",1,0,0.605850500853637,0.394149499146364,"vibogaw"
"contact185","stoolneg",0,1,0.493504698427648,0.506495301572352,"vibogaw"
"contact185","stoolneg",0,1,0.364396692334154,0.635603307665846,"Ogvctiter2_new_titers"
"contact186","stoolneg",0,1,0.495060892568904,0.504939107431096,"vibogaw"
